node_id,label,pred_label,S_i,S_i_norm,P_high,sigma,sigma_norm,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
0,0,1,2.000397205352783,0.14291389286518097,0.06239419803023338,0.7980098128318787,0.27157485485076904,0.6441795229911804,0.05407930165529251,0.17213726043701172,0.027686869725584984,0.03952285274863243,0.025546811521053314,0.02477448247373104,0.012072901241481304
1,0,1,1.6654057502746582,0.09505796432495117,0.04385976120829582,0.9593927264213562,0.3327929377555847,0.752397894859314,0.05332579463720322,0.11446061730384827,0.018552405759692192,0.01740352064371109,0.015581528656184673,0.017967775464057922,0.010310456156730652
2,0,1,3.2630252838134766,0.32328933477401733,0.1921696960926056,1.0268847942352295,0.3583950102329254,0.33027932047843933,0.10657789558172226,0.1532326638698578,0.15489976108074188,0.06284066289663315,0.0689772516489029,0.0733131691813469,0.0498792827129364
3,0,1,2.7564826011657715,0.25092607736587524,0.1400294303894043,1.154396891593933,0.4067647159099579,0.4565736651420593,0.08615631610155106,0.16009995341300964,0.10686168074607849,0.050278883427381516,0.045366305857896805,0.061047524213790894,0.0336155965924263
4,0,1,1.8390296697616577,0.11986137926578522,0.0570899099111557,0.9572295546531677,0.3319723904132843,0.6818006634712219,0.08193134516477585,0.1385323405265808,0.01972852647304535,0.02091718278825283,0.015764806419610977,0.030920453369617462,0.010404649190604687
5,0,1,2.2823402881622314,0.1831914633512497,0.09377516061067581,1.0013078451156616,0.34869277477264404,0.5602930784225464,0.06256116181612015,0.2013520449399948,0.051230255514383316,0.030788250267505646,0.039850298315286636,0.03649432212114334,0.017430534586310387
6,0,1,1.3448688983917236,0.049266986548900604,0.016415148973464966,1.0106379985809326,0.35223203897476196,0.8551556468009949,0.02905566245317459,0.08554229140281677,0.007262097671627998,0.00656928913667798,0.00479968823492527,0.008641572669148445,0.002973888535052538
7,0,1,1.2859899997711182,0.040855713188648224,0.01776072382926941,1.0100493431091309,0.35200873017311096,0.8888231515884399,0.020258739590644836,0.061593931168317795,0.0063892509788274765,0.005174210295081139,0.0072145224548876286,0.007217127364128828,0.00332907447591424
8,0,1,1.2136313915252686,0.030518770217895508,0.013160746544599533,0.9991311430931091,0.34786710143089294,0.9098990559577942,0.030048318207263947,0.0373680554330349,0.0057592266239225864,0.0037644964177161455,0.0054589747451245785,0.0046958099119365215,0.0030059616547077894
9,0,1,1.0124202966690063,0.0017743280623108149,0.00021155057766009122,0.8360676765441895,0.2860115170478821,0.9895184636116028,0.00940974336117506,0.0006667462293989956,0.00018232600996270776,1.1166243893967476e-05,0.00018734310287982225,2.0818917619180866e-05,3.3885523862409173e-06
10,0,1,1.2394421100616455,0.03420601412653923,0.011239436455070972,0.886495053768158,0.30514034628868103,0.9015594720840454,0.01745542325079441,0.05936490744352341,0.004137236159294844,0.006243519950658083,0.0032437138725072145,0.006317514460533857,0.0016782081220299006
11,0,1,1.1364253759384155,0.019489338621497154,0.006461998913437128,1.1580007076263428,0.40813177824020386,0.9160444140434265,0.06205807626247406,0.009730641730129719,0.004751664120703936,0.0009531464311294258,0.0031982436776161194,0.0019990243017673492,0.0012647308176383376
12,0,1,1.0528507232666016,0.0075501031242311,0.0017097718082368374,0.8456824421882629,0.28965872526168823,0.9651297926902771,0.024214675650000572,0.007799648214131594,0.0007949660648591816,0.00035127802402712405,0.001093047671020031,0.0005356853362172842,8.10387937235646e-05
13,0,1,1.1621607542037964,0.02316582202911377,0.008378296159207821,0.7339801788330078,0.24728623032569885,0.9175995588302612,0.036972157657146454,0.032204583287239075,0.0028631389141082764,0.001982202986255288,0.006447975058108568,0.0014909423189237714,0.00043937854934483767
14,0,1,1.128810167312622,0.018401453271508217,0.008530543185770512,0.8103525042533875,0.27625685930252075,0.938841700553894,0.028083939105272293,0.019578609615564346,0.003930085804313421,0.0010350660886615515,0.0061891996301710606,0.0016969554126262665,0.0006443886668421328
