model,macro_f1,mae,qwk,pr_auc,recall_at_6_8,high_fn
GCN,0.2881,1.3739,0.2562,0.3495,0.2154,0.7846
GAT,0.2546,1.3744,0.2032,0.3059,0.1769,0.8231
GraphSAGE,0.2960,1.2773,0.2992,0.3763,0.2808,0.7192
GraphSAGE-TEG-Concat,0.2335,1.2633,0.3205,0.3503,0.3538,0.6462
GraphSAGE-TEG-Gate,0.2420,1.2325,0.2665,0.3675,0.2808,0.7192
SGFormer-adapted,0.3217,1.2509,0.3717,0.3557,0.3692,0.6308
SGFormer-TEG-Concat,0.2668,1.2575,0.3515,0.3744,0.3615,0.6385
SGFormer-TEG-Gate,0.3002,1.2776,0.3532,0.3701,0.3692,0.6308
Gradformer-adapted,0.2612,1.4125,0.2556,0.3242,0.2346,0.7654
TEG-only,0.2878,1.6617,0.2993,0.3455,0.3000,0.7000
Stable-Tail w/o Tail Loss,0.2323,1.1871,0.1964,0.3319,0.1538,0.8462
Stable-Tail GNN,0.2896,1.2666,0.2904,0.3659,0.2462,0.7538
