node_id,label,pred_label,S_i,S_i_norm,S_i_rc_norm,delta_rc,P_high,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
0,0,1,1.8980565071105957,0.12829378247261047,0.14512772910861638,0.016833946636005896,0.05517568811774254,0.6319096684455872,0.11117901653051376,0.15648576617240906,0.020666256546974182,0.024583540856838226,0.02761770226061344,0.01742136850953102,0.010136616416275501
1,0,1,2.1863675117492676,0.1694810688495636,0.1987543519259035,0.029273283076339893,0.10070565342903137,0.5989264249801636,0.10134098678827286,0.12680819630622864,0.03396906331181526,0.03824969008564949,0.045080024749040604,0.03827514499425888,0.01735047809779644
2,0,1,4.27407169342041,0.4677245318889618,0.5479347876701762,0.0802102557812144,0.43055179715156555,0.2462390512228012,0.04837629571557045,0.10136242210865021,0.11701230704784393,0.05645812675356865,0.18493950366973877,0.19788222014904022,0.047730058431625366
3,0,1,3.451974630355835,0.35028210282325745,0.4183223769059219,0.06804027408266444,0.29920798540115356,0.39788010716438293,0.05608370155096054,0.09263521432876587,0.10569654405117035,0.04849649965763092,0.12535257637500763,0.14420609176158905,0.029649317264556885
4,0,1,1.8971166610717773,0.1281595230102539,0.15082110556334313,0.02266158255308923,0.07426516711711884,0.6818786859512329,0.07762433588504791,0.11422701925039291,0.029082300141453743,0.02292250283062458,0.04164937883615494,0.024455951526761055,0.008159835822880268
5,0,1,3.9776599407196045,0.42537999153137207,0.5000952608889954,0.07471526935762328,0.37150150537490845,0.25805482268333435,0.05074310302734375,0.17481514811515808,0.09136737138032913,0.05351809412240982,0.1752917468547821,0.16081473231315613,0.035395022481679916
6,0,1,1.7945151329040527,0.11350215971469879,0.13299224306213872,0.019490083347439933,0.06281566619873047,0.6866395473480225,0.12655530869960785,0.07563670724630356,0.02790107950568199,0.02045164257287979,0.03411325812339783,0.020306434482336044,0.008395975455641747
7,0,1,1.5595059394836426,0.079929418861866,0.09761569787296942,0.017686279011103426,0.05492211878299713,0.8155518174171448,0.05968756228685379,0.034273967146873474,0.0196274034678936,0.015937048941850662,0.02883392944931984,0.018146997317671776,0.007941192016005516
8,0,1,1.479444146156311,0.06849201768636703,0.08155909983094171,0.013067082144574685,0.04007965698838234,0.824662983417511,0.06511682271957397,0.03920745104551315,0.016742181032896042,0.014190842397511005,0.019103115424513817,0.013428810983896255,0.007547733373939991
9,0,1,1.1403422355651855,0.02004889026284218,0.021963793402574525,0.0019149031397323452,0.005583086516708136,0.9100868105888367,0.06351436674594879,0.016251636669039726,0.0028539097402244806,0.001709993346594274,0.0047544073313474655,0.0006497041322290897,0.00017897484940476716
10,0,1,1.6410523653030396,0.091578908264637,0.10765121558732244,0.016072307322685445,0.05055021122097969,0.7617803812026978,0.06951853632926941,0.08083062618970871,0.021462108939886093,0.015858301892876625,0.02692776918411255,0.017943039536476135,0.0056794025003910065
11,0,1,3.198208808898926,0.31402984261512756,0.36829024568998653,0.05426040307485895,0.22600068151950836,0.37897172570228577,0.11767096817493439,0.14042823016643524,0.07791083306074142,0.05901765450835228,0.08633486926555634,0.07945695519447327,0.06020885705947876
12,0,1,2.161895275115967,0.16598503291606903,0.19861427956037817,0.032629246644309134,0.11178027093410492,0.6388574242591858,0.05025668814778328,0.13830821216106415,0.036055535078048706,0.02474181540310383,0.05489782243967056,0.04477804899215698,0.012104395776987076
13,0,1,1.7690834999084473,0.10986907035112381,0.12995414438195985,0.02008507403083603,0.06446908414363861,0.7088950276374817,0.10325967520475388,0.08254966139793396,0.021070662885904312,0.019755782559514046,0.036925576627254486,0.018942909315228462,0.008600602857768536
14,0,1,2.2641522884368896,0.18059317767620087,0.21396097273603504,0.033367795059834185,0.1163482591509819,0.5791130065917969,0.13374397158622742,0.08835703134536743,0.04676682502031326,0.03567095473408699,0.052275460213422775,0.039177026599645615,0.024895774200558662
15,0,1,1.0986640453338623,0.014094864018261433,0.01565257264097906,0.0015577086227176286,0.004514223430305719,0.9444685578346252,0.03576558455824852,0.01052380446344614,0.0024135885760188103,0.002314184093847871,0.002513130195438862,0.0012198621407151222,0.0007812312105670571
16,0,1,1.403555989265442,0.0576508566737175,0.06527674496540654,0.007625888291689042,0.02312120981514454,0.806719958782196,0.09560251235961914,0.05488662049174309,0.010450225323438644,0.009219525381922722,0.012356193736195564,0.007184694986790419,0.003580320393666625
17,0,1,2.239516258239746,0.17707374691963196,0.21116569700734128,0.03409195008770933,0.11836488544940948,0.6032320857048035,0.052651431411504745,0.17153707146644592,0.030761752277612686,0.02345276065170765,0.062035053968429565,0.0467895083129406,0.009540321305394173
18,0,1,2.1507654190063477,0.1643950641155243,0.19475224243207245,0.03035717831654816,0.10379880666732788,0.5768366456031799,0.2003093659877777,0.0472957082092762,0.043567024171352386,0.028192324563860893,0.03980081528425217,0.03459569439291954,0.029402300715446472
19,0,1,1.2685409784317017,0.03836299851536751,0.041632373781306034,0.003269375265938523,0.009713719598948956,0.861972987651825,0.0604192279279232,0.0566367469727993,0.005925889126956463,0.005331459455192089,0.005186648573726416,0.0018779716920107603,0.0026490995660424232
