group,src,dst
high_high,3142,1367
high_high,3414,1456
high_high,183,858
high_high,1764,1679
high_high,4808,4597
high_high,3056,3681
high_high,1651,1264
high_high,4546,735
high_high,1740,503
high_high,936,509
high_high,2710,303
high_high,2126,2866
high_high,4790,1853
high_high,2507,3713
high_high,5150,3684
high_high,3237,326
high_high,2603,3191
high_high,3174,2391
high_high,1135,1639
high_high,1909,330
high_high,1230,4272
high_high,4961,2104
high_high,2200,692
high_high,4792,1651
high_high,3458,5107
high_high,4205,237
high_high,4732,4300
high_high,102,301
high_high,2539,3133
high_high,1399,2516
high_high,3035,2795
high_high,3601,2158
high_high,2,2108
high_high,1692,3047
high_high,1145,3522
high_high,2603,3247
high_high,2499,238
high_high,671,1942
high_high,754,3974
high_high,2895,3525
high_high,2895,4511
high_high,5063,298
high_high,275,1082
high_high,1753,4043
high_high,355,1017
high_high,1877,3820
high_high,2509,409
high_high,1870,3250
high_high,2974,1864
high_high,690,2866
high_normal,5154,1889
high_normal,3347,4965
high_normal,1542,3867
high_normal,2039,2829
high_normal,1367,1149
high_normal,1982,920
high_normal,3600,3808
high_normal,3530,2970
high_normal,664,3831
high_normal,3356,2306
high_normal,4205,5077
high_normal,251,4002
high_normal,2379,3991
high_normal,3769,4062
high_normal,3548,3121
high_normal,275,2464
high_normal,3056,4510
high_normal,3910,1409
high_normal,3126,2485
high_normal,3569,1008
high_normal,4209,2923
high_normal,800,3171
high_normal,3217,2396
high_normal,2012,4204
high_normal,4389,5134
high_normal,3929,1587
high_normal,3318,2321
high_normal,5172,2469
high_normal,3427,4434
high_normal,281,1172
high_normal,3356,3676
high_normal,1683,4715
high_normal,2166,1214
high_normal,5109,4922
high_normal,3975,113
high_normal,4120,4317
high_normal,372,2486
high_normal,748,4354
high_normal,2846,756
high_normal,3250,5052
high_normal,2979,3594
high_normal,330,2778
high_normal,552,2458
high_normal,740,239
high_normal,2981,4548
high_normal,5166,1843
high_normal,5150,4633
high_normal,3191,3865
high_normal,409,2218
high_normal,3530,5159
normal_high,3013,1982
normal_high,4057,4394
normal_high,434,1304
normal_high,3438,368
normal_high,209,5157
normal_high,138,3764
normal_high,795,4669
normal_high,4255,3743
normal_high,851,2588
normal_high,2845,236
normal_high,3380,123
normal_high,5123,1474
normal_high,4252,330
normal_high,5253,4205
normal_high,329,751
normal_high,3567,3725
normal_high,1096,1223
normal_high,1540,630
normal_high,3996,1738
normal_high,4447,3644
normal_high,2062,330
normal_high,2464,4394
normal_high,4444,4205
normal_high,1317,4120
normal_high,1673,3131
normal_high,1966,3623
normal_high,2458,5184
normal_high,837,2751
normal_high,289,2806
normal_high,2382,581
normal_high,3143,594
normal_high,1257,5116
normal_high,946,374
normal_high,2063,1536
normal_high,2343,617
normal_high,93,1638
normal_high,2400,1422
normal_high,4537,1753
normal_high,1134,4589
normal_high,1314,3284
normal_high,3048,2302
normal_high,948,569
normal_high,1937,2418
normal_high,90,3690
normal_high,2632,266
normal_high,1217,2642
normal_high,243,4468
normal_high,1027,467
normal_high,916,2738
normal_high,1696,1226
