group,src,dst
high_high,3142,1367
high_high,3414,1456
high_high,183,858
high_high,1764,1679
high_high,4808,4597
high_high,3056,3681
high_high,1651,1264
high_high,4546,735
high_high,1740,503
high_high,936,509
high_normal,2710,4513
high_normal,2126,4077
high_normal,4790,1837
high_normal,2507,2917
high_normal,5150,662
high_normal,3237,454
high_normal,2603,3934
high_normal,3174,3922
high_normal,1135,1676
high_normal,1909,4030
normal_high,1301,4272
normal_high,4985,2104
normal_high,2243,692
normal_high,3673,1651
normal_high,1558,5107
normal_high,4178,237
normal_high,2876,4300
normal_high,96,301
normal_high,5203,3133
normal_high,3707,2516
