rank,node_id,label,pred_label,S_i,S_i_norm,S_i_rc_norm,P_high
1,3637,8,8,7.763286113739014,0.9661837220191956,0.9678221137028833,0.9689958691596985
2,2794,0,7,7.111579418182373,0.8730827569961548,0.8794236429832907,0.999215841293335
3,4315,8,8,7.024609088897705,0.8606584668159485,0.8667059759449416,0.8680124282836914
4,3593,0,7,7.005950927734375,0.8579930067062378,0.8650914574105176,0.9997325539588928
5,5157,7,7,6.952582359313965,0.8503689169883728,0.8576650034938987,0.9752100110054016
6,4485,7,7,6.946766376495361,0.8495380282402039,0.8569545084459682,0.9858278632164001
7,3777,7,7,6.930386066436768,0.8471980094909668,0.8545833992011922,0.9666614532470703
8,3814,0,7,6.910951614379883,0.8444216847419739,0.8512250729493299,0.8745933771133423
9,3794,7,7,6.868412971496582,0.8383446931838989,0.8460138885430318,0.9488331079483032
10,3477,0,7,6.864905834197998,0.8378437161445618,0.845675686496833,0.9659780263900757
11,3901,0,7,6.673893928527832,0.8105562925338745,0.819251717329173,0.9179956316947937
12,3756,6,7,6.640931606292725,0.8058473467826843,0.814677937919926,0.909654438495636
13,998,0,7,6.5951409339904785,0.7993058562278748,0.8080390379187923,0.8702976107597351
14,4627,8,8,6.530556678771973,0.7900795340538025,0.7985610575183358,0.808070182800293
15,4403,0,8,6.529969215393066,0.7899956107139587,0.7978027898168714,0.7435253262519836
16,4198,8,8,6.427568435668945,0.7753669023513794,0.7838869987182158,0.758578896522522
17,3493,7,7,6.33961296081543,0.7628018260002136,0.7721790983333312,0.790669858455658
18,5150,7,7,6.2664713859558105,0.7523530721664429,0.7622724445867682,0.801089882850647
19,5022,0,8,6.1616058349609375,0.7373722791671753,0.7464389442280165,0.6904575824737549
20,3458,7,7,6.13676118850708,0.7338230013847351,0.7442759946749067,0.7854167222976685
