method,customer_set,metric,AUC_10_to_40pct,normalized_AUC
GCN,A,CommonRisk,1.0383202273844514,3.4610674246148374
GCN,B,CommonRisk,1.4562253995649308,4.854084665216435
Stable-Tail-GNN,A,CommonRisk,0.9946350329028206,3.3154501096760685
Stable-Tail-GNN,B,CommonRisk,1.354317902782591,4.514393009275302
TEG-low,A,CommonRisk,1.07070838067888,3.569027935596266
TEG-low,B,CommonRisk,1.3946441067201352,4.648813689067117
GCN,A,CVaR90,0.025189391748585147,0.08396463916195047
GCN,B,CVaR90,0.03678695787657277,0.12262319292190921
Stable-Tail-GNN,A,CVaR90,0.02329319645819605,0.07764398819398682
Stable-Tail-GNN,B,CVaR90,0.03322834347446377,0.1107611449148792
TEG-low,A,CVaR90,0.026325509796236983,0.08775169932078992
TEG-low,B,CVaR90,0.03445061651333214,0.11483538837777377
GCN,A,LoadRisk,0.52578964886299,1.7526321628766328
GCN,B,LoadRisk,0.7044695789863187,2.3482319299543954
Stable-Tail-GNN,A,LoadRisk,0.4908302877173071,1.63610095905769
Stable-Tail-GNN,B,LoadRisk,0.6528055321014771,2.1760184403382565
TEG-low,A,LoadRisk,0.5424947206353005,1.8083157354510013
TEG-low,B,LoadRisk,0.6786559736319802,2.262186578773267
