rank,node_id,label,pred_label,S_i,S_i_norm,S_i_rc_norm,P_high
1,2795,0,8,7.348442077636719,0.906920313835144,0.9203096418223339,0.958986759185791
2,3367,0,7,7.091783046722412,0.8702546954154968,0.8897101179894502,0.999672532081604
3,3335,7,7,7.0884318351745605,0.8697759509086609,0.8890959429734806,0.9890642166137695
4,3421,5,8,7.091177940368652,0.8701682686805725,0.8870133022157649,0.8649674654006958
5,3300,7,7,7.057433605194092,0.865347683429718,0.8852042426117761,0.9831027388572693
6,3208,7,7,7.050550937652588,0.8643644452095032,0.8847024296093402,0.9996387958526611
7,4430,0,8,6.99445915222168,0.8563513159751892,0.8757660731367025,0.9010295867919922
8,3100,0,7,6.931994438171387,0.8474277853965759,0.8697761682597458,0.97651606798172
9,3772,8,8,6.942121505737305,0.8488745093345642,0.8689158181094161,0.8840912580490112
10,4091,7,7,6.906209945678711,0.8437442779541016,0.8659537860950592,0.9475709795951843
11,3250,0,7,6.8966898918151855,0.8423842787742615,0.8658036967734027,0.9905703067779541
12,3198,7,7,6.83783483505249,0.8339763879776001,0.8566143586032411,0.9090261459350586
13,3537,8,8,6.758898735046387,0.8226998448371887,0.845467817920419,0.856099009513855
14,3487,8,8,6.720559120178223,0.8172227144241333,0.8404172814934739,0.8460047245025635
15,3410,7,7,6.6639404296875,0.8091343641281128,0.8339718371038171,0.867537796497345
16,4058,8,7,6.652761459350586,0.8075373768806458,0.831758659954773,0.8389952182769775
17,2819,0,8,6.599077224731445,0.7998681664466858,0.8246736576092477,0.8263050317764282
18,3086,7,7,6.5684943199157715,0.7954992055892944,0.8209619290465568,0.8300774097442627
19,3475,8,7,6.551603317260742,0.7930861711502075,0.8185788211213971,0.821361243724823
20,3375,0,7,6.461297512054443,0.780185341835022,0.8100768739233256,0.9065677523612976
