rank,node_id,label,pred_label,S_i,S_i_norm,S_i_rc_norm,P_high
1,2794,0,8,7.592744827270508,0.9418206810951233,0.9505396807660617,0.9990949630737305
2,3637,8,8,7.5075154304504395,0.9296450614929199,0.9397222085997257,0.9548864960670471
3,5157,7,7,7.253627777099609,0.8933753967285156,0.909005344836055,0.9772571325302124
4,89,0,8,7.162102699279785,0.8803004026412964,0.8968106972216354,0.919540524482727
5,3609,1,8,7.145666599273682,0.8779523968696594,0.8948962692693335,0.9255335330963135
6,3484,0,7,7.069137096405029,0.8670195937156677,0.8869596744063619,0.9996500611305237
7,4379,8,8,7.058078289031982,0.865439772605896,0.883771899410658,0.9082489013671875
8,3777,7,7,7.042280673980713,0.8631829619407654,0.8833517909956307,0.9827640056610107
9,4485,7,7,7.031136512756348,0.8615909218788147,0.882118616408837,0.9887450933456421
10,3477,0,7,7.028591156005859,0.8612273335456848,0.8820365534540755,0.9996790885925293
11,3593,0,7,7.027315616607666,0.8610450625419617,0.8818881888641037,0.9999945163726807
12,3901,0,7,7.005224227905273,0.8578891754150391,0.8791922891342836,0.9993662238121033
13,2488,0,8,6.929207801818848,0.8470296859741211,0.8666843763099592,0.8565797209739685
14,4403,0,8,6.896868705749512,0.8424097895622253,0.8634750330244625,0.8911401033401489
15,4315,8,8,6.798528671264648,0.8283612132072449,0.8504511629283918,0.8580014705657959
16,5150,7,8,6.7896223068237305,0.8270888924598694,0.8495659391112351,0.8666127920150757
17,3651,7,7,6.77741813659668,0.8253454566001892,0.8488666906386724,0.8978193402290344
18,3955,7,7,6.770273208618164,0.8243247270584106,0.8474216165675894,0.876499354839325
19,4145,8,8,6.7012481689453125,0.8144640326499939,0.8381067147015926,0.8495273590087891
20,3721,1,7,6.679472923278809,0.8113532662391663,0.8370265074800847,0.907277524471283
