node_id,label,pred_label,S_i,S_i_norm,S_i_rc_norm,delta_rc,P_high,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
0,0,1,1.1892675161361694,0.027038216590881348,0.027437701983328087,0.00039948539244674116,0.005132336635142565,0.8720084428787231,0.09614650160074234,0.019676193594932556,0.003154526697471738,0.003882095916196704,0.002995359944179654,0.0011591084767132998,0.000977868214249611
1,0,1,2.122270345687866,0.1603243350982666,0.16685468749160037,0.0065303523933337715,0.09721539914608002,0.5988481640815735,0.13988173007965088,0.09389062970876694,0.0401703380048275,0.029993750154972076,0.04654032364487648,0.033305712044239044,0.017369363456964493
2,0,1,2.611107349395752,0.23015819489955902,0.23926123931270518,0.00910304441314615,0.1478070616722107,0.46752893924713135,0.13835181295871735,0.13849511742591858,0.06658967584371567,0.04122746363282204,0.0789579451084137,0.04564725235104561,0.02320186235010624
3,0,1,1.5699009895324707,0.08141442388296127,0.08143535615236357,2.0932269402297466e-05,0.00028484375798143446,0.618064284324646,0.19502043724060059,0.1865789294242859,2.9325432478799485e-05,2.2209331291378476e-05,0.00017445068806409836,9.914187830872834e-05,1.1251191608607769e-05
4,0,2,1.9307447671890259,0.13296353816986084,0.13338618503168675,0.0004226468618259194,0.006093268282711506,0.1512245386838913,0.7955203056335449,0.044528208673000336,0.0010916941100731492,0.0015420231502503157,0.0019334774697199464,0.0020611381623893976,0.0020986527670174837
5,0,1,1.4216760396957397,0.060239434242248535,0.060456274395230124,0.00021684015298158776,0.002884247340261936,0.6185399889945984,0.35593125224113464,0.02054150030016899,0.00132711639162153,0.0007759083528071642,0.0009420106071047485,0.0007289679488167167,0.001213268842548132
6,0,1,2.867568016052246,0.26679542660713196,0.28028023071225167,0.013484804105119715,0.2298949807882309,0.46308961510658264,0.09803467988967896,0.1364402323961258,0.05631096288561821,0.016229622066020966,0.12656785547733307,0.09332791715860367,0.00999920628964901
7,0,1,3.0840253829956055,0.2977178990840912,0.3083080713331499,0.010590172249058725,0.1884956955909729,0.3225044310092926,0.12835609912872314,0.24923858046531677,0.06689095497131348,0.04451413452625275,0.08257311582565308,0.07586069405078888,0.030061880126595497
8,0,1,1.000375747680664,5.3678239055443555e-05,5.367823919584734e-05,1.4040378269159024e-13,1.7551414965497059e-12,0.9996532201766968,0.0003176818136125803,2.9062834073556587e-05,6.324861207690491e-12,6.6417995235601435e-12,1.6976020198941622e-12,4.468854350155385e-14,1.2850971270472484e-14
9,0,1,1.699540376663208,0.09993433952331543,0.10171187858576136,0.001777539062445932,0.024686241522431374,0.5449714660644531,0.31123456358909607,0.10954549908638,0.0054609570652246475,0.00410128990188241,0.012257063761353493,0.01186277624219656,0.0005664026248268783
10,0,1,1.820454716682434,0.11720781773328781,0.12062214420965307,0.0034143264763652637,0.04834555834531784,0.6202774047851562,0.17169401049613953,0.11805998533964157,0.026726622134447098,0.014896427281200886,0.026489660143852234,0.012564540840685368,0.009291356429457664
11,0,1,1.3934016227722168,0.05620023235678673,0.05811750368141191,0.0019172713246251773,0.025392983108758926,0.8188232779502869,0.08118663728237152,0.05849703773856163,0.00983012467622757,0.0062699890695512295,0.013990177772939205,0.009120018221437931,0.002282787347212434
