model,customer_set,model_seed_runs,cost_increase_mean,cost_increase_std,common_global_risk_mean_mean,common_global_risk_mean_std,common_global_cvar90_mean_mean,common_global_cvar90_mean_std,common_global_cvar95_mean_mean,common_global_cvar95_mean_std,common_max_edge_risk_mean_mean,common_max_edge_risk_mean_std,common_high_risk_edge_hits_mean_mean,common_high_risk_edge_hits_mean_std,common_max_vehicle_risk_mean_mean,common_max_vehicle_risk_mean_std,common_max_vehicle_cvar90_mean_mean,common_max_vehicle_cvar90_mean_std,common_edge_burden_gini_used_mean_mean,common_edge_burden_gini_used_mean_std,common_top10_burden_share_mean_mean,common_top10_burden_share_mean_std,load_global_risk_mean_mean,load_global_risk_mean_std,load_cvar90_mean_mean,load_cvar90_mean_std,load_cvar95_mean_mean,load_cvar95_mean_std,load_max_vehicle_risk_mean_mean,load_max_vehicle_risk_mean_std,load_edge_burden_gini_used_mean_mean,load_edge_burden_gini_used_mean_std,load_top10_burden_share_mean_mean,load_top10_burden_share_mean_std
GAT,A,10,0.1821498498320449,0.014820332717280943,3.4098112167513563,0.2039477028610904,0.08617200769654682,0.009431474376948875,0.16414090263628126,0.015406324969252299,0.3948665384188811,0.03248071310568665,38.529999999999994,2.1092652749239496,1.0963559372656604,0.07981645751828312,0.1335272388380842,0.012677185472625674,0.7622533266134124,0.011974758187918292,0.7637576483678477,0.014673088742397216,1.7310937858263267,0.12618798085014785,0.049444120484358325,0.004778620104632932,0.08094497727486213,0.007427234399768323,0.6161835209529337,0.05914204067116945,0.811337387838174,0.013069550170626212,0.7793124645928764,0.01886894938324824
GAT,B,10,0.21927464179046458,0.02210719724652338,4.871740900519955,0.4434338075642515,0.11696949623741881,0.010780170740832333,0.2392997153909635,0.025235385752704453,0.5628061267348403,0.1032005000945167,41.9,1.3366625103842276,1.548976334444717,0.12915910521549326,0.20414645229314915,0.03957234879679614,0.8078357962096764,0.01309452357132076,0.8179140404933098,0.016580521570736535,2.3914546131608674,0.22206578601942484,0.0666271140139348,0.00777858472746653,0.12127597656073645,0.015175980050624975,0.80942387305013,0.04803566647691112,0.8395021158269433,0.010245462726026345,0.8192193070974032,0.015713958930580578
GCN,A,10,0.18564421614815607,0.016426322635867418,3.1994418889670753,0.11661078963535114,0.08106172555406792,0.007581466004918199,0.15113390990689174,0.010363225388679885,0.37869674408328957,0.0016944267407333624,38.2,0.5206833117271098,1.0832134755931242,0.11457288570854281,0.13036899182169065,0.01416563641739906,0.7498720976148824,0.007102814275519617,0.7489902246805672,0.009612091047473554,1.632569736855082,0.0641781063647211,0.04574445922014969,0.002561637924771148,0.07614766049837639,0.0031445506992781895,0.5815103318326724,0.05128604093470985,0.8036914127385468,0.00671044418971407,0.7672829763339959,0.009503482238436755
GCN,B,10,0.22936543546375035,0.017820439887956424,4.184436184296252,0.17330579771353094,0.10084090484065136,0.006031933311435749,0.20042836614113116,0.012195201278745725,0.49760520805760483,0.038878064986029554,40.81,0.6226288353960703,1.4326800225310612,0.09567349181123629,0.16603902967629403,0.015377981726916113,0.7852619481619152,0.006690979724384621,0.7903883920357158,0.008312894471661282,2.090061026544472,0.10215947122718796,0.05618840953267743,0.0034913890234108663,0.1011209538973274,0.00647787456650213,0.7806926845088895,0.04674080036751404,0.8267213337886241,0.006584846118668072,0.8007353109057632,0.009551300661539457
Gradformer-adapted,A,10,0.1946854599559661,0.02381049609597636,3.6698197698871136,0.26565509601609344,0.09492328417255616,0.009514371779638413,0.18537729656875093,0.01972662177845183,0.5107521286706792,0.1263987441321727,38.989999999999995,1.2350888407092202,1.1424266491421469,0.13715080446877825,0.15965738494743245,0.030790067171361166,0.7722295147345407,0.011156135836168916,0.778403810406957,0.01357016388128913,1.8185002345373433,0.11644448266151797,0.0525898146845209,0.0041883745332006285,0.08543659908707224,0.007453724169049584,0.6405748094793455,0.06369434781230408,0.817596725493065,0.01103512449587437,0.7863236749008906,0.014157400175912164
Gradformer-adapted,B,10,0.22003084189887417,0.035203445514074026,4.495875494543688,0.4200469110227468,0.10799608116067361,0.010242846427285669,0.21616998253119263,0.020981613623348647,0.5060413019068764,0.03083735088248994,41.42,1.0757942802103635,1.472145934286677,0.09077416109491158,0.19062429374609577,0.018502710417019834,0.7934737163577583,0.011573138595476817,0.8030723249745559,0.01628830225607488,2.265121650695559,0.21776050027161262,0.06213059398912375,0.007544228805486531,0.11301822604694929,0.013838621316610584,0.7980895590252991,0.04894893511435718,0.83218592633621,0.008804809604763977,0.8115559982886629,0.014360033037163364
GraphSAGE,A,10,0.17670452625557148,0.015847056708579336,3.2319715558084967,0.1438142636570377,0.0806136998940116,0.006310131040930758,0.15425747087318345,0.010850145986831363,0.37888212210626915,0.003116070889033125,38.3,0.7226494462892925,1.0968308831194509,0.0828977820963193,0.13514703321089155,0.010766099912006511,0.7515975547642002,0.008686871360155564,0.7512059885308833,0.011333275754182075,1.665625626506521,0.08069758119711928,0.046857231870000994,0.0029838517737391596,0.07772080761290981,0.003845573796967164,0.6078166126257057,0.052831039837229525,0.8059559173127852,0.006448731460871497,0.7709610631988397,0.010287681086814668
GraphSAGE,B,10,0.21213951685218357,0.028229470329292728,4.264815724776378,0.32216737665757667,0.10106910091369121,0.010172134963201896,0.20229996563193944,0.01920289328247392,0.461579205251801,0.059225972568300415,41.65,0.8746427842267953,1.3966874040095951,0.10424305343721028,0.16320216322396594,0.018676986633128057,0.7859353921649062,0.01056459014274891,0.7925812565873088,0.013721938052332832,2.218371157504766,0.24853247450779825,0.05981340731042879,0.008991041242020928,0.10920562226637909,0.016530939776179594,0.7782127193338221,0.07165075761855642,0.8295280372975835,0.012689837050284966,0.8051574237080799,0.019229683196012235
SGFormer-adapted,A,10,0.16484998905136958,0.026950573553645166,3.6160278527325405,0.632943480054214,0.09065599738924157,0.022102771414178143,0.17896323780280526,0.04510281070063646,0.4764050196114488,0.17070445073515556,39.63,1.636425644167461,1.157800169862198,0.16895752209320528,0.15346387015280108,0.04467192109905628,0.7687639200217096,0.027849971228096848,0.7723675558669311,0.034094788726812174,1.7750478447840579,0.2594329002700976,0.05052999937120621,0.009578297239819166,0.08481185548332972,0.016943433378482885,0.6221980269841343,0.1030517204138009,0.8119071115046987,0.02014597448137464,0.780547088575248,0.029449408211696684
SGFormer-adapted,B,10,0.18438231561779345,0.04614325843666449,4.527465929706104,0.5182032548028999,0.1059194302325818,0.013057944823783238,0.2137699063454654,0.02816911985176389,0.46215858888822064,0.04527023758794765,42.28,2.092207765336256,1.529513964395263,0.16985795708954615,0.18494435957107186,0.02798405188902939,0.7930657945195058,0.01698480606405201,0.8024255825244622,0.022955427200170544,2.321653867693446,0.2799973299065239,0.06381313754000062,0.009649462430784442,0.11576046647704426,0.017729329281135717,0.8477556701785479,0.07716567916515057,0.8334273711457438,0.012077617538225999,0.8126254623816843,0.019901968762904756
