rank,node_id,label,pred_label,S_i,S_i_norm,P_high
1,3208,7,7,7.339408874511719,0.9056298136711121,0.9768751859664917
2,3300,7,7,7.252215385437012,0.8931736350059509,0.9733087420463562
3,3335,7,7,7.196892738342285,0.8852704167366028,0.9542903900146484
4,3367,0,7,7.191674709320068,0.884524941444397,0.96278977394104
5,3100,0,7,7.087344646453857,0.869620680809021,0.930364727973938
6,3250,0,7,6.934346675872803,0.8477638363838196,0.9085862040519714
7,3198,7,7,6.844521999359131,0.8349317312240601,0.876010537147522
8,3475,8,7,6.470501899719238,0.7815002799034119,0.8040109872817993
9,3537,8,7,6.450653076171875,0.7786647081375122,0.8117721080780029
10,3487,8,7,6.4108805656433105,0.7729829549789429,0.8013367652893066
11,3138,7,7,6.3593525886535645,0.7656217813491821,0.7899400591850281
12,3497,7,7,6.317126274108887,0.7595894932746887,0.771480917930603
13,3448,7,7,6.298200607299805,0.756885826587677,0.7718338370323181
14,3410,7,7,6.163928031921387,0.7377039790153503,0.7640084028244019
15,3287,0,7,6.10685396194458,0.7295505404472351,0.686930775642395
16,3308,0,7,6.106747627258301,0.7295354008674622,0.7114194631576538
17,3084,7,7,6.105768203735352,0.7293954491615295,0.7620018720626831
18,1317,0,7,6.098045825958252,0.7282922863960266,0.7586776614189148
19,4091,7,7,6.0732550621032715,0.7247506976127625,0.74235600233078
20,3332,1,7,6.0679240226745605,0.7239891290664673,0.7480683922767639
