group,src,dst
high_high,3142,1367
high_high,3414,1456
high_high,183,858
high_high,1764,1679
high_high,4808,4597
high_high,3056,3681
high_high,1651,1264
high_high,4546,735
high_high,1740,503
high_high,936,509
high_high,2710,303
high_high,2126,2866
high_high,4790,1853
high_high,2507,3713
high_high,5150,3684
high_high,3237,326
high_high,2603,3191
high_high,3174,2391
high_high,1135,1639
high_high,1909,330
high_high,1230,4272
high_high,4961,2104
high_high,2200,692
high_high,4792,1651
high_high,3458,5107
high_high,4205,237
high_high,4732,4300
high_high,102,301
high_high,2539,3133
high_high,1399,2516
high_normal,3035,2786
high_normal,3601,2181
high_normal,2,3357
high_normal,1692,4623
high_normal,1145,925
high_normal,2603,1175
high_normal,2499,3666
high_normal,671,1959
high_normal,754,908
high_normal,2895,638
high_normal,2895,4299
high_normal,5063,433
high_normal,275,4584
high_normal,1753,1718
high_normal,355,1097
high_normal,1877,4699
high_normal,2509,4990
high_normal,1870,1203
high_normal,2974,3695
high_normal,690,4077
high_normal,5154,1889
high_normal,3347,4965
high_normal,1542,3867
high_normal,2039,2829
high_normal,1367,1149
high_normal,1982,920
high_normal,3600,3808
high_normal,3530,2970
high_normal,664,3831
high_normal,3356,2306
normal_high,4945,5070
normal_high,325,296
normal_high,2394,2722
normal_high,3545,3571
normal_high,3872,4384
normal_high,363,2477
normal_high,3011,1864
normal_high,4710,4394
normal_high,3048,2507
normal_high,4499,923
normal_high,1807,3631
normal_high,3737,3168
normal_high,859,2379
normal_high,4553,3440
normal_high,1486,3921
normal_high,1006,1559
normal_high,1729,3453
normal_high,2246,2492
normal_high,2814,4525
normal_high,4196,1110
normal_high,3754,368
normal_high,1708,3347
normal_high,2195,1153
normal_high,3775,667
normal_high,4932,107
normal_high,2593,899
normal_high,532,2507
normal_high,868,3273
normal_high,2819,607
normal_high,1203,1475
