node_id,label,pred_label,S_i,S_i_norm,P_high,S_i_ec_norm,delta_ec,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
0,0,1,1.771152138710022,0.1101645901799202,0.05361620709300041,0.08343669772148132,-0.02672790363430977,0.6782920360565186,0.14212751388549805,0.07322953641414642,0.03743782639503479,0.015296833589673042,0.02473602630198002,0.016776517033576965,0.012103664688766003
1,0,1,1.678362488746643,0.09690892696380615,0.04472304880619049,0.07126684486865997,-0.025642096996307373,0.7159734964370728,0.1207367330789566,0.07030125707387924,0.03326057642698288,0.015004899352788925,0.021670358255505562,0.012498683296144009,0.01055400911718607
2,0,1,2.528343677520752,0.21833480894565582,0.13162864744663239,0.19955973327159882,-0.018775073811411858,0.4801320433616638,0.16662970185279846,0.10844852030277252,0.07228212058544159,0.040879011154174805,0.05666781961917877,0.04361046105623245,0.03135036304593086
3,0,1,2.5013463497161865,0.2144780457019806,0.12992119789123535,0.19535137712955475,-0.019126713275909424,0.5010374784469604,0.1449483036994934,0.11326431483030319,0.06664606183767319,0.044182658195495605,0.05826544761657715,0.03971688449382782,0.03193886950612068
4,0,1,1.6439287662506104,0.09198982268571854,0.04163787513971329,0.0642709881067276,-0.02771884761750698,0.7176621556282043,0.1327197551727295,0.06601963937282562,0.029024917632341385,0.012935688719153404,0.018738817423582077,0.0136352414265275,0.009263819083571434
5,0,1,1.94902503490448,0.13557501137256622,0.07584229111671448,0.11143679916858673,-0.024138210341334343,0.6471738219261169,0.12633541226387024,0.08762966096401215,0.04091440886259079,0.02210446260869503,0.03668089210987091,0.021265005692839622,0.017896387726068497
6,0,1,1.510956883430481,0.07299383729696274,0.03144286945462227,0.045864690095186234,-0.027129147201776505,0.7770335078239441,0.09848738461732864,0.05826009064912796,0.023880621418356895,0.010895571671426296,0.015093200840055943,0.0091886380687356,0.007161030545830727
7,0,1,1.345862627029419,0.04940894618630409,0.01902388408780098,0.01883850432932377,-0.030570460483431816,0.8405154943466187,0.07329290360212326,0.04464203491806984,0.016312716528773308,0.0062128696590662,0.009491155855357647,0.004688709508627653,0.004844019655138254
8,0,1,1.340139627456665,0.04859137535095215,0.013425896875560284,0.015537645667791367,-0.03305372968316078,0.8003154993057251,0.13066671788692474,0.03757276386022568,0.013797168619930744,0.004221864975988865,0.00728162657469511,0.0033695742022246122,0.0027746958658099174
9,0,1,1.1203079223632812,0.01718684658408165,0.0007448345422744751,0.0,-0.044710878282785416,0.891968309879303,0.10051701962947845,0.004620932508260012,0.002053990727290511,9.491865057498217e-05,0.000516711559612304,0.00017304946959484369,5.507354944711551e-05
10,0,1,1.2516872882843018,0.03595532849431038,0.010592462494969368,0.0012375898659229279,-0.034717753529548645,0.85614413022995,0.09034081548452377,0.030232388526201248,0.009771790355443954,0.0029184252489358187,0.005635990295559168,0.002982678823173046,0.0019737931434065104
11,0,1,1.241715908050537,0.034530844539403915,0.004183548502624035,0.0,-0.04109574481844902,0.8085702061653137,0.16396301984786987,0.01616859994828701,0.006346264388412237,0.000768338271882385,0.002478854963555932,0.0010236228117719293,0.0006810703780502081
12,0,1,1.1013628244400024,0.014480403624475002,0.0012867540353909135,0.0,-0.040048737078905106,0.9173900485038757,0.07140536606311798,0.006943839136511087,0.002791082952171564,0.00018307326536159962,0.0008806275436654687,0.00028197566280141473,0.00012415078526828438
13,0,1,1.1690011024475098,0.02414301410317421,0.004471634514629841,0.0,-0.03778434917330742,0.882332444190979,0.09037599712610245,0.015329349786043167,0.00658787926658988,0.0009026173502206802,0.0028165169060230255,0.0010759920114651322,0.0005791255389340222
14,0,1,1.1164557933807373,0.016636541113257408,0.0028540657367557287,0.0,-0.03868691623210907,0.9182038903236389,0.06259370595216751,0.011510273441672325,0.0041944184340536594,0.0006436594994738698,0.0018136509461328387,0.0006675053155049682,0.00037290953332558274
15,0,1,2.109928607940674,0.15856122970581055,0.08440501987934113,0.13713963329792023,-0.021421601995825768,0.5979889035224915,0.12766189873218536,0.10818386822938919,0.052528832107782364,0.029231568798422813,0.03822284936904907,0.023003408685326576,0.023178763687610626
16,0,1,1.7957143783569336,0.11367348581552505,0.056856729090213776,0.09099778532981873,-0.022675704210996628,0.6853867769241333,0.12327589094638824,0.07862034440040588,0.03670049086213112,0.01915980875492096,0.026749320328235626,0.01604130119085312,0.014066106639802456
17,0,1,1.4430603981018066,0.06329434365034103,0.02482503280043602,0.03264249116182327,-0.030651835724711418,0.7930079102516174,0.09903143346309662,0.055098675191402435,0.020574159920215607,0.007462652865797281,0.011984252370893955,0.007548158057034016,0.005292623303830624
