node_id,label,pred_label,S_i,S_i_norm,P_high,sigma,sigma_norm,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8
0,0,1,1.5090678930282593,0.07272398471832275,0.024074211716651917,1.0062222480773926,0.23009467124938965,0.7279543280601501,0.14691650867462158,0.0861913189291954,0.006737656891345978,0.00812584813684225,0.011400850489735603,0.008665313944220543,0.004008048214018345
1,0,1,1.7631523609161377,0.10902176797389984,0.05059709772467613,1.190198540687561,0.3128279745578766,0.6549286842346191,0.16100278496742249,0.10424023866653442,0.014602497220039368,0.014628681354224682,0.021360361948609352,0.020112058147788048,0.009124676696956158
2,0,1,3.6401329040527344,0.37716183066368103,0.2860739827156067,1.5122449398040771,0.457650750875473,0.2943483293056488,0.13226710259914398,0.1223001629114151,0.0911749079823494,0.07383551448583603,0.10419384390115738,0.09973157197237015,0.08214857429265976
3,0,1,3.1168601512908936,0.3024086058139801,0.2139795869588852,1.4303536415100098,0.4208246171474457,0.38935354351997375,0.1478479951620102,0.12101759761571884,0.06112615391612053,0.0666751116514206,0.07185480743646622,0.07724953442811966,0.06487524509429932
4,0,1,1.6901683807373047,0.09859548509120941,0.048588529229164124,1.064397931098938,0.25625601410865784,0.6961615085601807,0.13594143092632294,0.0928216204047203,0.013913207687437534,0.01257376279681921,0.022584980353713036,0.018400760367512703,0.00760278943926096
5,0,1,3.0062384605407715,0.28660550713539124,0.20241254568099976,1.2985244989395142,0.36154165863990784,0.3845157325267792,0.16002942621707916,0.1468600183725357,0.056145284324884415,0.05003710463643074,0.07858472317457199,0.07581378519535065,0.04801403731107712
6,0,1,1.7968443632125854,0.113834910094738,0.05378950387239456,0.9996401071548462,0.22713471949100494,0.6263971328735352,0.19803087413311005,0.08904486149549484,0.017760252580046654,0.014977345243096352,0.023927846923470497,0.021137189120054245,0.00872446596622467
7,0,1,1.5840383768081665,0.08343405276536942,0.05092642456293106,1.1928530931472778,0.3140217065811157,0.7794798016548157,0.08742082864046097,0.056771062314510345,0.011870382353663445,0.013531453907489777,0.02076193131506443,0.021622687578201294,0.008541806600987911
8,0,1,1.3297321796417236,0.047104597091674805,0.019069522619247437,1.4180375337600708,0.415286123752594,0.8324896097183228,0.09480723738670349,0.04174274206161499,0.004825485870242119,0.007065419107675552,0.008641435764729977,0.007502365857362747,0.0029257196001708508
9,0,1,1.454371690750122,0.06491024047136307,0.01632893830537796,2.250399112701416,0.7895953059196472,0.6869288682937622,0.23564960062503815,0.05502985045313835,0.0035172379575669765,0.002545297145843506,0.01125667430460453,0.0038596107624471188,0.0012126523070037365
