rank,node_id,label,pred_label,S_i,S_i_norm,S_i_rc_norm,P_high
1,4436,8,8,7.599778175354004,0.942825436592102,0.9444224355180897,0.93106609582901
2,2488,0,8,7.2772321701049805,0.8967474699020386,0.8996600128465214,0.9402652382850647
3,4198,8,8,7.224667549133301,0.8892382383346558,0.89212710291664,0.8693928718566895
4,2794,0,7,7.00905179977417,0.8584359884262085,0.8626821994858496,0.9998329877853394
5,89,0,7,6.997964859008789,0.856852114200592,0.8609919225880853,0.9639933705329895
6,3593,0,7,6.978724479675293,0.8541035056114197,0.8584783052896027,0.9995213150978088
7,4485,7,7,6.916979789733887,0.8452828526496887,0.8498881483970955,0.992196798324585
8,3901,0,7,6.859866619110107,0.8371238112449646,0.8419362164157432,0.9848800301551819
9,311,0,8,6.859869480133057,0.837124228477478,0.8414449809643425,0.8842633962631226
10,3477,0,7,6.843656063079834,0.8348079919815063,0.8396282345867799,0.9726545214653015
11,4437,0,8,6.744665145874023,0.8206664323806763,0.8252496942601675,0.8519062995910645
12,3955,7,7,6.737454414367676,0.819636344909668,0.8243540503943905,0.8718876838684082
13,3609,1,7,6.735705375671387,0.8193864822387695,0.824071337410519,0.8646187782287598
14,4145,8,8,6.683602333068848,0.8119431734085083,0.8166085146861238,0.8269382119178772
15,926,0,8,6.605990409851074,0.8008557558059692,0.8056855468003428,0.8084242343902588
16,4871,7,7,6.5005598068237305,0.7857942581176758,0.7916204725467219,0.9066383838653564
17,3745,1,8,6.504488945007324,0.7863555550575256,0.7909404210629053,0.715342104434967
18,4183,3,7,6.431003093719482,0.7758575677871704,0.781142775888097,0.78598952293396
19,3794,7,7,6.390469074249268,0.770067036151886,0.7757168735403921,0.8190557360649109
20,4844,0,8,6.322439193725586,0.7603484392166138,0.7655243928993427,0.7199276685714722
